Name,Category,Hours,Price,Address,Coordinates,URL,Phone
Kabuki,"restaurant;
food;
point_of_interest;
establishment","Sunday 11:00 -  22:30
Monday 11:00 -  22:30
Tuesday 11:00 -  22:30
Wednesday 11:00 -  22:30
Thursday 11:00 -  22:30
Friday 11:00 -  22:30
Saturday 11:00 -  22:30",2,"Vul. Vasylya Stusa, 30д, Ivano-Frankivsk, Ivano-Frankivsk Oblast, 76000","48.93185, 24.745962",https://kabuki2.choiceqr.com/,066 645 6252
Borsh,"restaurant;
food;
point_of_interest;
establishment","Sunday 09:00 -  23:00
Monday 09:00 -  23:00
Tuesday 09:00 -  23:00
Wednesday 09:00 -  23:00
Thursday 09:00 -  23:00
Friday 09:00 -  23:00
Saturday 09:00 -  23:00",2,"Katedralna Square, 3, Lviv, Lviv Oblast, 79000","49.841087, 24.030329",,097 423 1719
ZWIN by SHOco.,"restaurant;
cafe;
bar;
store;
food;
point_of_interest;
establishment","Sunday 08:00 -  22:00
Monday 08:00 -  18:00
Tuesday 08:00 -  22:00
Wednesday 08:00 -  22:00
Thursday 08:00 -  22:00
Friday 08:00 -  22:00
Saturday 08:00 -  22:00",,"Kulparkivska St, 200а, Lviv, Lviv Oblast, 79071","49.811363, 23.983044",https://shoco-zwin.choiceqr.com/?fbclid=PAAaYLgxsVvAo9l71JhlV4uyBAavEEi5DFTDZ9LnkT43RWM95INulTJxyo5NA,095 173 3077
Familia Wok&Pasta,"restaurant;
food;
point_of_interest;
establishment","Sunday 11:00 -  21:00
Monday 11:00 -  21:00
Tuesday 11:00 -  21:00
Wednesday 11:00 -  21:00
Thursday 11:00 -  21:00
Friday 11:00 -  21:00
Saturday 11:00 -  21:00",2,"Kryva Lypa Passage, 9, Lviv, Lviv Oblast, 79000","49.840794, 24.026066",https://tiki.choiceqr.com/,098 175 7787
Love&Lviv cafe,"restaurant;
food;
point_of_interest;
establishment","Sunday 10:00 -  22:00
Monday 10:00 -  22:00
Tuesday 10:00 -  22:00
Wednesday 10:00 -  22:00
Thursday 10:00 -  22:00
Friday 10:00 -  22:00
Saturday 10:00 -  22:00",,"Petra Doroshenka St, 66, Lviv, Lviv Oblast, 79000","49.836006, 24.01962",https://loveandlviv.choiceqr.com/,098 715 8851
Bakery пекарня-кав'ярня,"cafe;
bakery;
store;
point_of_interest;
food;
establishment","Sunday 08:00 -  21:00
Monday 08:00 -  21:00
Tuesday 08:00 -  21:00
Wednesday 08:00 -  21:00
Thursday 08:00 -  21:00
Friday 08:00 -  21:00
Saturday 08:00 -  21:00",2,"Marshala Batyts'koho St, 10, Cherkasy, Cherkasy Oblast, 18000","49.429398, 32.016384",https://instagram.com/bakery_ck?utm_medium=copy_link,067 234 4008
Krymsʹka Perepichka Stryysʹka,"bakery;
cafe;
store;
food;
point_of_interest;
establishment","Sunday 09:00 -  20:00
Monday 08:30 -  20:30
Tuesday 08:30 -  20:30
Wednesday 08:30 -  20:30
Thursday 08:30 -  20:30
Friday 08:30 -  20:30
Saturday 08:30 -  20:30",2,"Stryiska St, 111б, Lviv, Lviv Oblast, 79000","49.786545, 24.019",https://crimeanbake.choiceqr.com/,050 527 3301
CODE,"cafe;
store;
food;
point_of_interest;
establishment","Sunday 09:00 -  21:00
Monday 09:00 -  21:00
Tuesday 09:00 -  21:00
Wednesday 09:00 -  21:00
Thursday 09:00 -  21:00
Friday 09:00 -  21:00
Saturday 09:00 -  21:00",,"Kniazia Romana St, 16, Lviv, Lviv Oblast, 79000","49.83833, 24.032343",https://code.choiceqr.com/,063 064 8424
Cukor BLACK,"cafe;
meal_delivery;
bar;
bakery;
store;
restaurant;
food;
point_of_interest;
establishment","Sunday 08:30 -  20:00
Monday 08:30 -  18:00
Tuesday 08:30 -  18:00
Wednesday 08:30 -  18:00
Thursday 08:30 -  18:00
Friday 08:30 -  20:00
Saturday 08:30 -  20:00",2,"Kryva Lypa Passage, 3, Lviv, Lviv Oblast, 79000","49.84046, 24.026665",http://cukor.lviv.ua/,097 337 9356
МІФ,"restaurant;
food;
point_of_interest;
establishment","Sunday 12:00 -  22:30
Monday 16:00 -  22:30
Tuesday 16:00 -  22:30
Wednesday 16:00 -  22:30
Thursday 16:00 -  22:30
Friday 16:00 -  22:30
Saturday 12:00 -  22:30",,"Pekarska St, Lviv, Lviv Oblast, 79000","49.838047, 24.035458",https://myth.choiceqr.com/,098 238 9503
Spilka Bakery,"restaurant;
food;
point_of_interest;
establishment","Sunday 09:00 -  21:00
Monday 09:00 -  21:00
Tuesday 09:00 -  21:00
Wednesday 09:00 -  21:00
Thursday 09:00 -  21:00
Friday 09:00 -  21:00
Saturday 09:00 -  21:00",,"Viacheslava Chornovola Ave, 16е, Lviv, Lviv Oblast, 79019","49.85599, 24.02576",https://spilka.choiceqr.com/,097 690 3533
Salalat Угорська,"restaurant;
food;
point_of_interest;
establishment","Sunday 10:00 -  21:00
Monday 10:00 -  21:00
Tuesday 10:00 -  21:00
Wednesday 10:00 -  21:00
Thursday 10:00 -  21:00
Friday 10:00 -  21:00
Saturday 10:00 -  21:00",,"Uhorska St, 12, Lviv, Lviv Oblast, 79000","49.81132, 24.042276",https://salalat4.choiceqr.com/,063 887 5758
Ukrayinsʹke Podvir'ya,"bar;
restaurant;
point_of_interest;
food;
establishment","Sunday 10:00 -  21:30
Monday 10:00 -  21:30
Tuesday 10:00 -  21:30
Wednesday 10:00 -  21:30
Thursday 10:00 -  21:30
Friday 10:00 -  21:30
Saturday 10:00 -  21:30",2,"Mykhal'chuka St, 1, Lviv, Lviv Oblast, 79007","49.842808, 24.025536",http://ukrpodvirya.com/,098 476 0142
WA Coffee and Cocktails,"cafe;
bar;
store;
restaurant;
food;
point_of_interest;
establishment","Sunday 09:00 -  23:00
Monday 11:00 -  22:00
Tuesday 11:00 -  22:00
Wednesday 11:00 -  22:00
Thursday 11:00 -  22:00
Friday 09:00 -  23:00
Saturday 09:00 -  23:00",,"Kniazia Romana St, 7, Lviv, Lviv Oblast, 79000","49.83685, 24.03387",https://walviv.choiceqr.com/,093 341 8030
Borshch Ta Ryba,"restaurant;
food;
point_of_interest;
establishment","Sunday 10:00 -  22:00
Monday 10:00 -  22:00
Tuesday 10:00 -  22:00
Wednesday 10:00 -  22:00
Thursday 10:00 -  22:00
Friday 10:00 -  22:00
Saturday 10:00 -  22:00",,"Volodymyra Vynnychenka St, 3, Lviv, Lviv Oblast, 79000","49.839382, 24.035622",,068 508 0378
OM NOM NOM - Futura HUB,"restaurant;
food;
point_of_interest;
establishment",,2,"Kulparkivska St, 200a, Lviv, Lviv Oblast, 79000","49.8115, 23.983212",https://omnomnom-rymlyanyna.choiceqr.com/menu,063 567 3358
U N O,"cafe;
store;
food;
point_of_interest;
establishment","Sunday 09:00 -  21:00
Monday 09:00 -  21:00
Tuesday 09:00 -  21:00
Wednesday 09:00 -  21:00
Thursday 09:00 -  21:00
Friday 09:00 -  21:00
Saturday 09:00 -  21:00",,"Shpytalna St, Lviv, Lviv Oblast, 79000","49.844173, 24.024427",https://uno92.choiceqr.com/menu,095 000 1085
Churrasco grill & wine,"restaurant;
food;
point_of_interest;
establishment","Sunday 11:00 -  23:00
Monday 11:00 -  23:00
Tuesday 11:00 -  23:00
Wednesday 11:00 -  23:00
Thursday 11:00 -  23:00
Friday 11:00 -  23:00
Saturday 11:00 -  23:00",2,"Valova St, 15, Lviv, Lviv Oblast, 79000","49.840115, 24.033443",http://zarabudu.com.ua/,098 983 8898
WA Lviv restaurant,"restaurant;
cafe;
bar;
store;
food;
point_of_interest;
establishment","Sunday 09:00 -  23:00
Monday 11:00 -  22:00
Tuesday 11:00 -  22:00
Wednesday 11:00 -  22:00
Thursday 11:00 -  22:00
Friday 11:00 -  23:00
Saturday 09:00 -  23:00",,"Львів, Кн. Романа, 7, Kniazia Romana St, 7, Lviv, Lviv Oblast, 79000","49.836784, 24.033922",https://walviv.choiceqr.com/,093 341 8030
ЛІС BAR,"bar;
point_of_interest;
establishment","Sunday 13:00 - Monday 00:00
Monday 13:00 - Tuesday 00:00
Tuesday 13:00 - Wednesday 00:00
Wednesday 13:00 - Thursday 00:00
Thursday 13:00 - Friday 00:00
Friday 13:00 - Saturday 00:00
Saturday 13:00 - Sunday 00:00",,"Shevska St, 1, Lviv, Lviv Oblast, 79000","49.842022, 24.029835",http://lis.choiceqr.com/,097 374 7722
Gallery Night Club,"restaurant;
meal_delivery;
night_club;
bar;
food;
point_of_interest;
establishment","Sunday 12:00 -  23:00
Monday 12:00 -  23:00
Tuesday 12:00 -  23:00
Wednesday 12:00 -  23:00
Thursday 12:00 -  23:00
Friday 12:00 -  23:00
Saturday 12:00 -  23:00",2,"Svobody Ave, 16-18, Lviv, Lviv Oblast, 79000","49.84235, 24.028223",https://knightsgallerylviv.choiceqr.com/,097 486 0755
The old walls,"night_club;
bar;
restaurant;
food;
point_of_interest;
store;
establishment","Sunday 12:00 -  22:00
Monday 12:00 -  21:30
Tuesday 12:00 -  21:30
Wednesday 12:00 -  21:30
Thursday 12:00 -  21:30
Friday 12:00 -  22:30
Saturday 00:00 -  22:30",2,"Serbska St, 5, Lviv, Lviv Oblast, 79000","49.84106, 24.033133",https://starimury.choiceqr.com/,067 780 0013
Kim Kimchi Korean BBQ (Львів),"restaurant;
food;
point_of_interest;
establishment","Sunday 12:00 -  22:00
Monday 12:00 -  22:00
Tuesday 12:00 -  22:00
Wednesday 12:00 -  22:00
Thursday 12:00 -  22:00
Friday 12:00 -  22:00
Saturday 12:00 -  22:00",,"Lesi Ukrainky St, 14, Lviv, L'vivs'ka oblast, 79008","49.84371, 24.031073",https://kimkimchi-lviv.choiceqr.com/,093 852 2887
Restoratsiya Nad Tsukerneyu,"restaurant;
food;
point_of_interest;
establishment","Sunday 12:00 -  21:00
Monday 12:00 -  21:00
Tuesday 12:00 -  21:00
Wednesday 12:00 -  21:00
Thursday 12:00 -  21:00
Friday 12:00 -  21:00
Saturday 12:00 -  21:00",,"Staroievreiska St, 3, 2-Yy Poverkh, Lviv, Lviv Oblast, 79000","49.840458, 24.031143",https://cukiernia.choiceqr.com/online-menu,098 206 6517
"Kefalʹ, Restoran Rodom Z Odesy","restaurant;
food;
point_of_interest;
establishment","Sunday 09:30 -  22:00
Monday 09:30 -  22:00
Tuesday 09:30 -  22:00
Wednesday 09:30 -  22:00
Thursday 09:30 -  22:00
Friday 09:30 -  22:00
Saturday 09:30 -  22:00",,"Brativ Rohatyntsiv St, 5, Lviv, Lviv Oblast, 79000","49.84004, 24.03108",https://kefal.choiceqr.com/menu,063 245 4763
K-Food,"restaurant;
food;
point_of_interest;
establishment","Monday 12:00 -  21:00
Tuesday 12:00 -  21:00
Wednesday 12:00 -  21:00
Thursday 12:00 -  21:00
Friday 12:00 -  21:00
Saturday 12:00 -  21:00",2,"Tyktora St, 4, Lviv, Lviv Oblast, 79000","49.842552, 24.025452",https://koreankafemenu.netlify.app/#%D0%A7%D1%96%D0%B3%D0%B5,063 541 9317
ZARA BUDU,"meal_delivery;
bar;
restaurant;
food;
point_of_interest;
establishment","Sunday 11:00 -  21:00
Monday 11:00 -  21:00
Tuesday 11:00 -  21:00
Wednesday 11:00 -  21:00
Thursday 11:00 -  21:00
Friday 11:00 -  21:00
Saturday 11:00 -  21:00",,"Valova St, 15, Lviv, Lviv Oblast, 79000","49.84004, 24.033253",http://zarabudu.com.ua/,
"Королевские пицца , суши","bakery;
store;
food;
point_of_interest;
establishment",,,"Fonvizina St, Kharkiv, Kharkiv Oblast, 61000","49.944416, 36.27525",,
Mahazyn Shashlyku,"meal_delivery;
restaurant;
food;
point_of_interest;
establishment","Sunday 10:00 -  22:00
Monday 10:00 -  22:00
Tuesday 10:00 -  22:00
Wednesday 10:00 -  22:00
Thursday 10:00 -  22:00
Friday 10:00 -  22:00
Saturday 10:00 -  22:00",2,"Novyy Tsum, Knyahyni Ol'hy St, 106, Lviv, Lviv Oblast, 79060","49.80974, 23.998716",https://magazin-shashliku.choiceqr.com/,097 098 0105
BISCOTTI,"cafe;
bakery;
restaurant;
food;
point_of_interest;
store;
establishment","Sunday 10:00 -  20:00
Monday 09:00 -  20:00
Tuesday 09:00 -  20:00
Wednesday 09:00 -  20:00
Thursday 09:00 -  20:00
Friday 09:00 -  20:00
Saturday 09:00 -  20:00",2,"Lystopadovoho Chynu St, 14, Lviv, Lviv Oblast, 79000","49.8403, 24.01989",http://biscotti-group.com/,097 796 4046
Chef Knife,"restaurant;
cafe;
store;
food;
point_of_interest;
establishment","Sunday 10:00 -  22:00
Monday 10:00 -  22:00
Tuesday 10:00 -  22:00
Wednesday 10:00 -  22:00
Thursday 10:00 -  22:00
Friday 10:00 -  22:00
Saturday 10:00 -  22:00",2,"Taras Shevchenko St, 10, Novoiavorivsk, Lviv Oblast, 81053","49.93336, 23.5658",https://espresso-cafe-chef-knife.choiceqr.com/,096 356 5158
Grill Chicken,"meal_delivery;
restaurant;
food;
point_of_interest;
establishment","Sunday 10:00 -  22:00
Monday 10:00 -  22:00
Tuesday 10:00 -  22:00
Wednesday 10:00 -  22:00
Thursday 10:00 -  22:00
Friday 10:00 -  22:00
Saturday 10:00 -  22:00",,"Zamarstynivska St, 132, Lviv, Lviv Oblast, 79000","49.86208, 24.027018",https://grillchickendrive.choiceqr.com/,097 087 1002
Bakery Смілянська,"bakery;
store;
point_of_interest;
food;
establishment","Sunday 08:00 -  21:00
Monday 08:00 -  21:00
Tuesday 08:00 -  21:00
Wednesday 08:00 -  21:00
Thursday 08:00 -  21:00
Friday 08:00 -  21:00
Saturday 08:00 -  21:00",,"Smilyans'ka St, 96, Cherkasy, Cherkasy Oblast, 18000","49.42816, 32.04656",https://bakery-smilyanska.choiceqr.com/menu,073 458 4008
Red Pepper,"restaurant;
food;
point_of_interest;
establishment","Sunday 10:00 -  22:00
Monday 10:00 -  22:00
Tuesday 10:00 -  22:00
Wednesday 10:00 -  22:00
Thursday 10:00 -  22:00
Friday 10:00 -  22:00
Saturday 10:00 -  22:00",3,"Sichovykh Striltsiv St, 5, Lviv, Lviv Oblast, 79000","49.84078, 24.025103",https://redpepper.choiceqr.com/,068 320 3739
1708 pizza di Napoli,"restaurant;
food;
point_of_interest;
establishment","Sunday 10:00 -  22:00
Monday 09:00 -  22:00
Tuesday 09:00 -  22:00
Wednesday 09:00 -  22:00
Thursday 09:00 -  22:00
Friday 09:00 -  22:00
Saturday 10:00 -  22:00",,"Pid Holoskom St, 2а, Lviv, Lviv Oblast, 79000","49.869217, 24.012043",https://pidholosko-1708-pizza-di-napoli.choiceqr.com/,073 033 1708
Lʹvivsʹkyy Kish - Dostaka Kishiv U Lʹvovi,"bakery;
store;
food;
point_of_interest;
establishment","Sunday 09:00 -  20:00
Monday 09:00 -  20:00
Tuesday 09:00 -  20:00
Wednesday 09:00 -  20:00
Thursday 09:00 -  20:00
Friday 09:00 -  20:00
Saturday 09:00 -  20:00",,"Symona Petliury St, 11, Lviv, Lviv Oblast, 79000","49.823574, 23.980259",,098 666 0962
Mitte,"cafe;
bar;
bakery;
store;
food;
point_of_interest;
establishment","Sunday 08:00 -  20:30
Monday 08:00 -  20:30
Tuesday 08:00 -  20:30
Wednesday 08:00 -  20:30
Thursday 08:00 -  20:30
Friday 08:00 -  20:30
Saturday 08:00 -  20:30",,"Knyahyni Ol'hy St, 98B, Lviv, Lviv Oblast, 79053","49.81904, 24.003523",https://mitte.choiceqr.com/,067 010 1321
Miso - wok&roll,"restaurant;
meal_delivery;
food;
point_of_interest;
establishment","Sunday 12:00 -  22:00
Monday 12:00 -  22:00
Tuesday 12:00 -  22:00
Wednesday 12:00 -  22:00
Thursday 12:00 -  22:00
Friday 12:00 -  22:00
Saturday 12:00 -  22:00",,"Akademika Lyul'ky St, 4, Lviv, Lviv Oblast, 79019","49.84861, 24.02511",https://miso-sushi.choiceqr.com/online-menu,068 420 2402
Krymsʹka Perepichka Sadova,"cafe;
store;
food;
point_of_interest;
establishment","Monday 09:00 -  20:30
Tuesday 09:00 -  20:30
Wednesday 09:00 -  20:30
Thursday 09:00 -  20:30
Friday 09:00 -  20:30
Saturday 09:00 -  20:30",,"Sadova St, 2е, Lviv, Lviv Oblast, 79000","49.823208, 23.98492",https://crimeanbake.choiceqr.com/,096 624 0976
Рестобар FRESH,"cafe;
car_wash;
food;
point_of_interest;
establishment","Sunday 10:00 -  23:00
Monday 10:00 -  23:00
Tuesday 10:00 -  23:00
Wednesday 10:00 -  23:00
Thursday 10:00 -  23:00
Friday 10:00 -  23:00
Saturday 10:00 -  23:00",2,"Pasichna St, 148, Lviv, Lviv Oblast, 79032","49.808975, 24.077755",https://restobarfresh.choiceqr.com/?fbclid=PAAaaYQSCRo8o_u9tKnc9huPDIK669RwKqmaWw86ZAvJjKIIcVwxFHVxaLxWM,098 015 7587
Lviv coffee manufacture (Valova),"cafe;
store;
food;
point_of_interest;
establishment","Sunday 09:00 -  21:00
Monday 09:00 -  21:00
Tuesday 09:00 -  21:00
Wednesday 09:00 -  21:00
Thursday 09:00 -  21:00
Friday 09:00 -  21:00
Saturday 09:00 -  21:00",2,"Valova St, 16, Lviv, Lviv Oblast, 79000","49.839855, 24.033365",https://lvivska-manufaktura-kavi.choiceqr.com/,096 400 9008
Happy Bakery,"bakery;
cafe;
store;
restaurant;
food;
point_of_interest;
establishment","Sunday 08:00 -  21:00
Monday 08:00 -  21:00
Tuesday 08:00 -  21:00
Wednesday 08:00 -  21:00
Thursday 08:00 -  21:00
Friday 08:00 -  21:00
Saturday 08:00 -  21:00",,"Lesi Ukrainky St, 61, Lutsk, Volyn Oblast, 43000","50.745605, 25.32372",https://www.instagram.com/happybakery_bistro/,096 195 0721
Royal Brewery,"restaurant;
bar;
food;
point_of_interest;
establishment","Sunday 08:00 -  23:00
Monday 08:00 -  23:00
Tuesday 08:00 -  23:00
Wednesday 08:00 -  23:00
Thursday 08:00 -  23:00
Friday 08:00 -  23:00
Saturday 08:00 -  23:00",2,"Staroievreiska St, 9, Lviv, Lviv Oblast, 79000","49.840607, 24.032198",http://royal-brewery.com/,098 303 5472
Italian bakery,"cafe;
meal_delivery;
meal_takeaway;
bakery;
restaurant;
food;
point_of_interest;
store;
establishment","Sunday 09:00 - Monday 00:00
Monday 08:00 -  23:00
Tuesday 08:00 -  23:00
Wednesday 08:00 -  23:00
Thursday 08:00 -  23:00
Friday 08:00 -  23:00
Saturday 09:00 - Sunday 02:00",,"Krakivska St, 3, Lviv, Lviv Oblast, 79000","49.842464, 24.030169",https://www.facebook.com/italianbakerynew/,068 439 5489
One Shot Cafe,"cafe;
food;
point_of_interest;
establishment","Sunday 09:00 -  22:00
Monday 09:00 -  22:00
Tuesday 09:00 -  22:00
Wednesday 09:00 -  22:00
Thursday 09:00 -  22:00
Friday 09:00 -  22:00
Saturday 09:00 -  22:00",,"Stryiska St, 45а, Lviv, Lviv Oblast, 79000","49.802532, 24.019053",https://oneshotcafe.choiceqr.com/?fbclid=PAAaZCb5KvZ_DIs9e-gLVsuCEDqR1UIzGlN1A-HZT9hBYmpOCnm_9nY3ZEQek_aem_AYHu9jEtuylLzR85QJ9Cbsc5e1aoW5maxe6ySOEdDwKjI_GgBMw15n5KdP-_rHwWsNA,068 837 5751
Rest Public,"restaurant;
food;
point_of_interest;
establishment","Sunday 11:00 -  22:00
Monday 11:00 -  22:00
Tuesday 11:00 -  22:00
Wednesday 11:00 -  22:00
Thursday 11:00 -  22:00
Friday 11:00 -  22:00
Saturday 11:00 -  22:00",,"Kolomyiska St, 2, Lviv, Lviv Oblast, 79000","49.78777, 24.061111",https://restpublic.choiceqr.com/,096 174 5952
Honey. Cafe-confectionary,"cafe;
bakery;
store;
restaurant;
food;
point_of_interest;
establishment","Sunday 09:00 -  22:00
Monday 08:00 -  22:00
Tuesday 08:00 -  22:00
Wednesday 08:00 -  22:00
Thursday 08:00 -  22:00
Friday 08:00 -  22:00
Saturday 09:00 -  22:00",2,"Yaroslaviv Val St, 20, Kyiv, 01030","50.451035, 30.510265",https://honeykyiv.com/,067 352 6186
Той самий Баранчик,"restaurant;
food;
point_of_interest;
establishment","Sunday 12:00 -  23:00
Monday 12:00 -  23:00
Tuesday 12:00 -  23:00
Wednesday 12:00 -  23:00
Thursday 12:00 -  23:00
Friday 12:00 -  23:00
Saturday 12:00 -  23:00",,"Lazneva St, 3а, Lviv, Lviv Oblast, 79000","49.84574, 24.025917",https://barasheklviv.choiceqr.com/,067 589 5252
Ribs House | Ресторан-реберня,"restaurant;
food;
point_of_interest;
establishment","Sunday 12:00 -  23:00
Monday 12:00 -  22:00
Tuesday 12:00 -  22:00
Wednesday 12:00 -  22:00
Thursday 12:00 -  22:00
Friday 12:00 -  23:00
Saturday 12:00 -  23:00",,"Chervonoyi Kalyny Ave, 36, Lviv, Lviv Oblast, 79036","49.79826, 24.047106",https://ribshouse.choiceqr.com/online-menu,068 631 1681
Que Pasa Lviv,"bar;
point_of_interest;
establishment","Sunday 18:00 - Monday 11:00
Monday 18:00 - Tuesday 11:00
Tuesday 18:00 - Wednesday 11:00
Wednesday 18:00 - Thursday 11:00
Thursday 18:00 - Friday 11:00
Friday 18:00 - Saturday 11:00
Saturday 18:00 - Sunday 11:00",2,"Drukarska St, 12, Lviv, Lviv Oblast, 79000","49.843952, 24.03211",https://quepasalviv.choiceqr.com/,097 785 0171
Red Monkey · Ramen Shop,"restaurant;
food;
point_of_interest;
establishment","Sunday 12:00 -  21:00
Monday 12:00 -  21:00
Tuesday 12:00 -  21:00
Wednesday 12:00 -  21:00
Thursday 12:00 -  21:00
Friday 12:00 -  21:00
Saturday 12:00 -  21:00",,"Yana Zhyzhky St, 3, Lviv, Lviv Oblast, 79008","49.844257, 24.028717",https://red-monkey.choiceqr.com/,067 452 5141
